,Title,Year,Rating,Link
0,The Shawshank Redemption,1994,9.2,/title/tt0111161/
1,The Godfather,1972,9.2,/title/tt0068646/
2,The Dark Knight,2008,9.0,/title/tt0468569/
3,The Godfather Part II,1974,9.0,/title/tt0071562/
4,12 Angry Men,1957,9.0,/title/tt0050083/
5,Schindler's List,1993,8.9,/title/tt0108052/
6,The Lord of the Rings: The Return of the King,2003,8.9,/title/tt0167260/
7,Pulp Fiction,1994,8.8,/title/tt0110912/
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,/title/tt0120737/
9,"Il buono, il brutto, il cattivo",1966,8.8,/title/tt0060196/
10,Forrest Gump,1994,8.8,/title/tt0109830/
11,Fight Club,1999,8.7,/title/tt0137523/
12,The Lord of the Rings: The Two Towers,2002,8.7,/title/tt0167261/
13,Inception,2010,8.7,/title/tt1375666/
14,The Empire Strikes Back,1980,8.7,/title/tt0080684/
15,The Matrix,1999,8.7,/title/tt0133093/
16,GoodFellas,1990,8.7,/title/tt0099685/
17,One Flew Over the Cuckoo's Nest,1975,8.6,/title/tt0073486/
18,Se7en,1995,8.6,/title/tt0114369/
19,Shichinin no samurai,1954,8.6,/title/tt0047478/
20,It's a Wonderful Life,1946,8.6,/title/tt0038650/
21,The Silence of the Lambs,1991,8.6,/title/tt0102926/
22,Saving Private Ryan,1998,8.6,/title/tt0120815/
23,Cidade de Deus,2002,8.6,/title/tt0317248/
24,Interstellar,2014,8.6,/title/tt0816692/
25,La vita è bella,1997,8.6,/title/tt0118799/
26,The Green Mile,1999,8.6,/title/tt0120689/
27,Star Wars,1977,8.5,/title/tt0076759/
28,Terminator 2: Judgment Day,1991,8.5,/title/tt0103064/
29,Back to the Future,1985,8.5,/title/tt0088763/
30,Sen to Chihiro no kamikakushi,2001,8.5,/title/tt0245429/
31,The Pianist,2002,8.5,/title/tt0253474/
32,Psycho,1960,8.5,/title/tt0054215/
33,Gisaengchung,2019,8.5,/title/tt6751668/
34,Léon,1994,8.5,/title/tt0110413/
35,The Lion King,1994,8.5,/title/tt0110357/
36,Gladiator,2000,8.5,/title/tt0172495/
37,American History X,1998,8.5,/title/tt0120586/
38,The Departed,2006,8.5,/title/tt0407887/
39,The Prestige,2006,8.5,/title/tt0482571/
40,The Usual Suspects,1995,8.5,/title/tt0114814/
41,Whiplash,2014,8.5,/title/tt2582802/
42,Casablanca,1942,8.5,/title/tt0034583/
43,Hotaru no haka,1988,8.5,/title/tt0095327/
44,Seppuku,1962,8.5,/title/tt0056058/
45,The Intouchables,2011,8.5,/title/tt1675434/
46,Modern Times,1936,8.4,/title/tt0027977/
47,Once Upon a Time in the West,1968,8.4,/title/tt0064116/
48,Nuovo Cinema Paradiso,1988,8.4,/title/tt0095765/
49,Rear Window,1954,8.4,/title/tt0047396/
50,Alien,1979,8.4,/title/tt0078748/
51,City Lights,1931,8.4,/title/tt0021749/
52,Apocalypse Now,1979,8.4,/title/tt0078788/
53,Memento,2000,8.4,/title/tt0209144/
54,Django Unchained,2012,8.4,/title/tt1853728/
55,Raiders of the Lost Ark,1981,8.4,/title/tt0082971/
56,WALL·E,2008,8.4,/title/tt0910970/
